이름,선거구명1,선거구명2,종류,회,기호,남여,정당,연령,직업,여당평가,당선여부,득표율,지역구분
엄태항,경북,봉화군,구시군의장선거,5,3,남,rem,61,,47.25,False,1.1865381690848666,1
김용수,경북,울진군,구시군의장선거,5,1,남,con,70,,47.25,False,,1
임광원,경북,울진군,구시군의장선거,5,3,남,rem,59,,,True,4.595119850134589,1
박완수,경남,창원시,구시군의장선거,5,,남,con,54,,47.25,True,,1
문성현,경남,창원시,구시군의장선거,5,3,남,rev,58,정당인,47.25,False,-0.2634362933121196,1
김영성,경남,창원시,구시군의장선거,5,3,남,rem,59,정당인,47.25,False,-3.1824122528350047,1
김규문,경남,창원시,구시군의장선거,5,3,남,rem,58,,47.25,False,-3.3145944418226443,1
전수식,경남,창원시,구시군의장선거,5,3,남,rem,53,,47.25,False,-0.4953750747967763,1
주정우,경남,창원시,구시군의장선거,5,3,남,rem,69,,47.25,False,-4.537909717417757,1
허상탁,경남,창원시,구시군의장선거,5,3,남,rem,,,47.25,False,-3.6621769530584487,1
이창희,경남,진주시,구시군의장선거,5,1,남,con,58,정당인,47.25,,,1
하정우,경남,진주시,구시군의장선거,5,3,남,rev,41,정당인,47.25,False,0.022855882533541583,1
김권수,경남,진주시,구시군의장선거,5,3,남,rem,49,정당인,47.25,False,-1.174074254359954,1
정영석,경남,진주시,구시군의장선거,5,3,남,rem,63,,47.25,False,2.196487283172279,1
김재천,경남,진주시,,5,3,남,rem,63,,47.25,False,-1.0322309699073835,1
안휘준,경남,통영시,구시군의장선거,5,1,남,con,50,,47.25,False,,1
이국민,경남,통영시,구시군의장선거,5,3,남,rev,51,,47.25,False,-2.1008700110139884,1
정동영,경남,통영시,구시군의장선거,5,3,남,rem,54,,47.25,False,-0.745709297604506,1
,경남,통영시,구시군의장선거,5,3,남,rem,59,,47.25,True,4.595119850134589,
이학렬,경남,고성군,구시군의장선거,5,1,남,con,,,47.25,True,,1
박종부,경남,고성군,구시군의장선거,5,3,남,rem,56,정당인,47.25,False,-0.94373968874685,1
하태호,경남,고성군,구시군의장선거,5,3,남,rem,50,,,False,-0.4019198250113412,1
이재희,경남,,구시군의장선거,5,3,남,rem,59,,47.25,False,-1.0323500344390002,1
정만규,,사천시,구시군의장선거,5,1,남,con,69,,47.25,True,,1
송도근,경남,사천시,구시군의장선거,5,3,남,rem,62,,47.25,False,2.0176883737484643,1
박용한,경남,사천시,구시군의장선거,5,3,남,rem,47,,47.25,False,-2.0918718311126616,1
박상길,경남,사천시,구시군의장선거,5,3,남,rem,46,,47.25,False,-2.5354597582314016,1
박정수,경남,김해시,구시군의장선거,,1,남,con,64,,47.25,,,2
김맹곤,경남,김해시,구시군의장선거,5,2,남,rev,64,정당인,47.25,,4.595119850134589,2
김종간,경남,김해시,구시군의장선거,5,3,남,rem,59,,47.25,False,5.1371047729643085,2
신용옥,경남,김해시,구시군의장선거,5,3,,rem,,,47.25,False,,2
송윤한,경남,,구시군의장선거,5,3,남,rem,44,,47.25,False,-2.214630654484832,2
엄용수,경남,밀양시,구시군의장선거,5,1,남,con,45,,47.25,True,,1
이태권,경남,밀양시,구시군의장선거,5,2,남,rev,66,정당인,47.25,False,-1.3748717608687488,1
김용문,경남,밀양시,구시군의장선거,5,3,남,rem,63,,47.25,False,1.5762398430245044,1
권민호,경남,거제시,구시군의장선거,5,1,남,con,54,정당인,47.25,True,,1
이세종,경남,거제시,구시군의장선거,5,3,남,rev,53,,47.25,False,-0.11257511961923324,1
김한주,경남,거제시,구시군의장선거,5,3,남,rev,42,,47.25,False,0.0015172207431800404,1
유승화,경남,거제시,구시군의장선거,5,3,,rem,60,,47.25,False,0.14804708794111587,1
이태재,경남,거제시,구시군의장선거,5,3,남,rem,51,,47.25,False,-0.8939033936173939,1
김채용,경남,의령군,구시군의장선거,5,1,남,con,60,,47.25,False,,1
권태우,경남,의령군,구시군의장선거,5,3,남,rem,60,,47.25,True,,1
김진옥,경남,,구시군의장선거,5,3,남,rem,58,,47.25,False,-1.3437597195431303,1
조영규,경남,함안군,구시군의장선거,5,1,남,con,62,,47.25,False,,1
하성식,경남,함안군,구시군의장선거,5,3,남,rem,58,,47.25,True,4.595119850134589,1
안갑준,경남,함안군,구시군의장선거,5,3,남,rem,55,,47.25,False,-1.5161861764503943,1
김충식,경남,창녕군,구시군의장선거,5,1,남,con,60,,47.25,True,,1
성이경,경남,창녕군,구시군의장선거,5,3,남,rem,51,,47.25,False,-0.3648848346429899,1
김종규,경남,창녕군,구시군의장선거,5,3,남,rem,61,,,False,-0.8081414125210498,1
나동연,경남,양산시,구시군의장선거,5,1,남,con,54,,47.25,True,,1
정병문,경남,양산시,구시군의장선거,5,2,남,rev,46,정당인,,False,1.0740001390759344,1
주철주,경남,양산시,구시군의장선거,5,3,남,rem,63,,47.25,False,-1.9964602189127711,1
김일권,경남,양산시,구시군의장선거,5,3,남,rem,58,,47.25,False,-0.43099501481005226,1
이철민,경남,양산시,구시군의장선거,5,3,남,rem,47,,47.25,False,-2.140946926881426,1
조유행,,하동군,구시군의장선거,5,1,남,con,63,,47.25,True,,1
김종관,경남,하동군,구시군의장선거,5,3,남,rem,47,,47.25,False,-1.0872973584408292,1
양일석,경남,하동군,구시군의장선거,5,3,남,rem,62,,47.25,False,-0.0737164404206669,1
박정달,경남,남해군,구시군의장선거,5,1,남,con,55,정당인,47.25,False,,1
정현태,경남,남해군,구시군의장선거,5,3,남,rem,47,,47.25,True,4.595119850134589,1
문준홍,경남,남해군,구시군의장선거,5,3,남,rem,45,,47.25,False,-2.076138353462087,
천사령,경남,함양군,구시군의장선거,5,1,남,con,67,,47.25,False,,1
박종환,경남,함양군,,5,3,남,rem,,,47.25,,-0.6275286049422311,1
이철우,경남,함양군,구시군의장선거,5,3,남,rem,61,,47.25,True,4.595119850134589,1
이재근,경남,산청군,구시군의장선거,5,1,남,con,57,,47.25,True,,1
배성한,경남,,구시군의장선거,5,3,남,rem,58,,47.25,False,-0.33219051519807186,1
이홍기,경남,거창군,구시군의장선거,5,1,남,con,51,정당인,47.25,,,1
강석진,경남,거창군,구시군의장선거,5,3,남,rem,50,,,False,0.9943532246774398,1
양동인,경남,거창군,구시군의장선거,5,3,남,rem,57,,47.25,False,1.773216552365097,1
심의조,경남,합천군,구시군의장선거,5,1,남,con,71,,47.25,False,,1
김윤철,경남,합천군,구시군의장선거,5,3,남,rem,45,,47.25,False,-0.6528664355064497,1
하창환,경남,합천군,구시군의장선거,5,3,남,,60,,47.25,True,4.595119850134589,1
김무만,경남,합천군,구시군의장선거,5,3,남,rem,54,,47.25,False,-2.081078597271978,1
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
이광형,전남,나주시,구시군의장선거,5,3,남,rem,55,,47.25,False,-1.033953908302991,2
이인호,전남,목포시,구시군의장선거,5,3,남,rem,46,,47.25,False,-2.8580300037091235,2
이철수,울산,중구,구시군의장선거,5,3,남,rem,63,,47.25,False,-1.786903126215486,1
장재영,전북,장수군,구시군의장선거,5,2,남,rev,65,,47.25,True,,2
김시환,충남,청양군,구시군의장선거,5,3,남,con,67,,47.25,False,0.8987052058697683,1
송용순,경기,군포시,구시군의장선거,5,3,여,rev,52,정당인,47.25,False,-2.946758268957532,2
조기석,대구,달서구,구시군의장선거,5,2,남,rev,50,,47.25,False,-0.9606698741891984,1
박종부,경남,고성군,구시군의장선거,5,3,남,rem,56,정당인,47.25,False,-0.94373968874685,1
김경회,충북,진천군,구시군의장선거,5,3,남,rem,57,정당인,47.25,False,4.595119850134589,3
박우섭,인천,남구,구시군의장선거,5,2,남,rev,54,,47.25,True,4.595119850134589,1
송명호,경기,평택시,구시군의장선거,5,1,남,con,54,,47.25,False,,1
강인형,전북,순창군,구시군의장선거,5,2,남,rev,63,,47.25,True,,2
김수찬,경기,구리시,구시군의장선거,5,3,남,rem,54,,47.25,False,-2.61358981603666,2
이종태,전북,임실군,구시군의장선거,5,3,남,rem,57,,47.25,False,0.4022368324304609,2
김윤식,경기,시흥시,구시군의장선거,5,2,남,rev,44,,47.25,True,4.595119850134589,2
김영석,경북,영천시,구시군의장선거,5,1,남,con,58,,47.25,True,,1
백용덕,강원,평창군,구시군의장선거,5,3,남,rem,61,,47.25,False,-2.0603611415530927,1
정동영,경남,통영시,구시군의장선거,5,3,남,rem,54,,47.25,False,-0.745709297604506,1
김맹곤,경남,김해시,구시군의장선거,5,2,남,rev,64,정당인,47.25,True,4.595119850134589,2
김대수,강원,삼척시,구시군의장선거,5,3,남,rem,68,,47.25,True,4.595119850134589,1
이학의,경기,안성시,구시군의장선거,5,3,남,rem,53,,47.25,False,-2.522521595631737,1
최양식,경북,경주시,구시군의장선거,5,1,남,con,58,정당인,47.25,True,,1
정해정,부산,부산진구,구시군의장선거,5,2,남,rev,49,정당인,47.25,False,0.8191704467088321,1
정기호,전남,영광군,구시군의장선거,5,2,남,rev,55,,47.25,True,,2
곽대훈,대구,달서구,구시군의장선거,5,1,남,con,54,,47.25,True,,1
정기일,경북,포항시,구시군의장선거,5,3,남,rev,45,정당인,47.25,False,-2.3240518433036947,1
권영택,경북,영양군,구시군의장선거,5,3,남,rem,47,,47.25,True,4.595119850134589,1
강인길,부산,강서구,구시군의장선거,5,1,남,con,51,,47.25,True,,1
김진옥,부산,강서구,구시군의장선거,5,2,남,rev,43,,47.25,False,0.5922574860035615,1
정진규,충북,영동군,구시군의장선거,5,1,남,con,41,,47.25,False,,1
김경포,경북,칠곡군,구시군의장선거,5,1,남,con,59,정당인,47.25,False,,1
송만기,경기,양평군,구시군의장선거,5,3,남,rem,51,,47.25,False,-1.8275253924589376,2
구본항,대구,북구,구시군의장선거,5,3,남,rem,53,정당인,47.25,False,-0.12082512387773332,1
김형탁,경기,과천시,구시군의장선거,5,3,남,rev,48,정당인,47.25,False,-0.7127329387774691,3
백용덕,강원,평창군,구시군의장선거,5,3,남,rem,61,,47.25,False,-2.0603611415530927,1
정종해,전남,보성군,구시군의장선거,5,2,남,rev,63,,47.25,True,,2
김선기,경기,평택시,구시군의장선거,5,2,남,rev,57,,47.25,True,4.595119850134589,1
이규희,충남,천안시,구시군의장선거,5,2,남,rev,48,정당인,47.25,False,1.0659719371855343,2
정호진,서울,영등포구,구시군의장선거,5,3,여,rev,37,정당인,47.25,False,-1.3041575748732792,3
박병종,전남,고흥군,구시군의장선거,5,2,남,rev,56,,47.25,True,,2
이기순,강원,인제군,구시군의장선거,5,3,남,rem,56,,47.25,True,4.595119850134589,1
장기현,경기,연천군,구시군의장선거,5,2,남,rev,64,,47.25,False,0.09956845757212257,1
황재관,부산,북구,구시군의장선거,5,1,남,con,63,정당인,47.25,True,,1
유상곤,충남,서산시,구시군의장선거,5,1,남,con,59,,47.25,True,,1
이익진,인천,계양구,구시군의장선거,5,3,남,rem,69,,47.25,False,-0.8915569898700776,2
염태영,경기,수원시,구시군의장선거,5,2,남,rev,49,,47.25,True,4.595119850134589,2
최양식,경북,경주시,구시군의장선거,5,1,남,con,58,정당인,47.25,True,,1
최재석,전북,군산시,구시군의장선거,5,3,남,rev,40,정당인,47.25,False,-2.265700194175569,2
이성원,충남,연기군,구시군의장선거,5,3,남,rem,72,,47.25,False,-1.1526795099383855,1
신현태,경기,수원시,구시군의장선거,5,3,남,rem,63,,47.25,False,-1.999784856802356,2
류강용,경기,과천시,구시군의장선거,5,3,남,rev,47,정당인,47.25,False,-2.723983200113867,3
한덕희,충남,청양군,구시군의장선거,5,3,남,rem,47,,47.25,False,-2.79218708030841,1
황일봉,광주,남구,구시군의장선거,5,3,남,rem,52,,47.25,False,4.595119850134589,2
유영록,경기,김포시,구시군의장선거,5,2,남,rev,47,정당인,47.25,True,4.595119850134589,3
김동식,경기,김포시,구시군의장선거,5,3,남,rem,49,,47.25,False,-0.4528413953256645,3
김수백,충북,보은군,구시군의장선거,5,1,남,con,61,정당인,47.25,False,,1
김종규,전북,부안군,구시군의장선거,5,3,남,rem,58,,47.25,False,4.595119850134589,2
오경근,대전,중구,구시군의장선거,5,3,남,rev,41,,47.25,False,-3.1861710444956177,3
송용순,경기,군포시,구시군의장선거,5,3,여,rev,52,정당인,47.25,False,-2.946758268957532,2
박형배,전남,광양시,구시군의장선거,5,3,남,rev,43,정당인,47.25,False,-0.5817058119386058,2
김학기,강원,동해시,구시군의장선거,5,1,남,con,62,,47.25,True,,1
김채용,경남,의령군,구시군의장선거,5,1,남,con,60,,47.25,False,,1
오세동,경기,용인시,구시군의장선거,5,1,남,con,60,정당인,47.25,False,,3
정진구,경기,가평군,구시군의장선거,5,1,남,con,54,정당인,47.25,False,,2
김호수,전북,부안군,구시군의장선거,5,2,남,rev,66,,47.25,True,4.595119850134589,2
김진석,울산,남구,구시군의장선거,5,3,남,rev,46,정당인,47.25,False,3.630421538344805,1
박응용,대전,대덕구,구시군의장선거,5,3,남,rem,45,,47.25,False,-3.0331253190190224,1
권재욱,경북,영양군,구시군의장선거,5,3,남,rem,48,,47.25,False,0.837287239381103,1
김한주,경남,거제시,구시군의장선거,5,3,남,rev,42,,47.25,False,0.0015172207431800404,1
박승호,경북,포항시,구시군의장선거,5,1,남,con,52,,47.25,True,,1
안병호,전남,함평군,구시군의장선거,5,2,남,rev,62,,47.25,True,,2
김호수,전북,부안군,구시군의장선거,5,2,남,rev,66,,47.25,True,4.595119850134589,2
송명호,경기,평택시,구시군의장선거,5,1,남,con,54,,47.25,False,,1
이재만,대구,동구,구시군의장선거,5,1,남,con,51,,47.25,True,,1
신동환,충북,충주시,구시군의장선거,5,3,남,rem,48,,47.25,False,-2.7572977143465907,1
이우경,경북,경산시,구시군의장선거,5,1,남,con,60,정당인,47.25,False,,1
정현태,경남,남해군,구시군의장선거,5,3,남,rem,47,,47.25,True,4.595119850134589,1
한기권,충남,홍성군,구시군의장선거,5,3,남,rem,56,,47.25,False,-0.18655363208688625,1
김종규,경남,창녕군,구시군의장선거,5,3,남,rem,61,,47.25,False,-0.8081414125210498,1
김경포,경북,칠곡군,구시군의장선거,5,1,남,con,59,정당인,47.25,False,,1
이명흠,전남,장흥군,구시군의장선거,5,2,남,rev,61,정당인,47.25,True,,2
강건종,충남,부여군,구시군의장선거,5,3,남,rem,67,,47.25,False,-2.534374179176849,1
정종득,전남,목포시,구시군의장선거,5,2,남,rev,69,,47.25,True,,2
박성민,울산,중구,구시군의장선거,5,1,남,con,51,,47.25,False,,1
김남웅,강원,양양군,구시군의장선거,5,2,남,rev,63,,47.25,False,-0.34438088944198914,1
이철수,울산,중구,구시군의장선거,5,3,남,rem,63,,47.25,False,-1.786903126215486,1
한영식,경기,안성시,구시군의장선거,5,3,남,rem,58,,47.25,False,-0.07228425343576297,1
정기호,전남,영광군,구시군의장선거,5,2,남,rev,55,,47.25,True,,2
이선호,울산,울주군,구시군의장선거,5,3,남,rev,49,,47.25,False,-0.2834652734463733,1
박동규,충북,영동군,구시군의장선거,5,2,남,rev,43,정당인,47.25,False,0.8408689868141491,1
엄태항,경북,봉화군,구시군의장선거,5,3,남,rem,61,,47.25,False,1.1865381690848666,1
이재명,경기,성남시,구시군의장선거,5,2,남,rev,45,,47.25,True,2.012868266248897,1
김상두,전북,장수군,구시군의장선거,5,3,남,rem,76,,47.25,False,1.5869488573968606,2
강인형,전북,순창군,구시군의장선거,5,2,남,rev,63,,47.25,True,,2
김학헌,충남,공주시,구시군의장선거,5,1,남,con,63,정당인,47.25,False,,1
김영성,경남,창원시,구시군의장선거,5,3,남,rem,59,정당인,47.25,False,-3.1824122528350047,1
오성규,인천,계양구,구시군의장선거,5,1,남,con,56,정당인,47.25,False,,2
정종득,전남,목포시,구시군의장선거,5,2,남,rev,69,,47.25,True,,2
정용기,대전,대덕구,구시군의장선거,5,1,남,con,48,,47.25,True,,1
유현규,강원,춘천시,구시군의장선거,5,3,남,rev,39,,47.25,False,-2.933317957008554,1
이진호,강원,양양군,구시군의장선거,5,1,남,con,63,,47.25,True,,1
김민아,전북,전주시,구시군의장선거,5,3,여,rev,40,정당인,47.25,False,4.595119850134589,2
임좌순,충남,아산시,구시군의장선거,5,1,남,con,61,,47.25,False,,1
김영성,경남,창원시,구시군의장선거,5,3,남,rem,59,정당인,47.25,False,-3.1824122528350047,1
최의순,경기,연천군,구시군의장선거,5,3,여,rem,39,,47.25,False,-1.0336704175977791,1
구대언,부산,강서구,구시군의장선거,5,3,남,rem,55,,47.25,False,-1.011380055491769,1
김맹곤,경남,김해시,구시군의장선거,5,2,남,rev,64,정당인,47.25,True,4.595119850134589,2
이시우,충남,보령시,구시군의장선거,5,3,남,con,61,정당인,47.25,True,4.595119850134589,1
오세창,경기,동두천시,구시군의장선거,5,3,남,rem,59,,47.25,True,4.595119850134589,1
심재인,경기,수원시,구시군의장선거,5,1,남,con,58,,47.25,False,,2
전주언,광주,서구,구시군의장선거,5,3,남,rem,62,,47.25,True,4.595119850134589,2
주우열,부산,북구,구시군의장선거,5,3,남,rev,37,정당인,47.25,False,0.9616157336371199,1
정주신,대전,서구,구시군의장선거,5,3,남,rem,51,,47.25,False,-2.145626643497605,2
김춘석,경기,여주군,구시군의장선거,5,1,남,con,59,,47.25,True,,1
김성발,부산,수영구,구시군의장선거,5,2,남,rev,49,정당인,47.25,False,0.2760808299016225,1
박노욱,경북,봉화군,구시군의장선거,5,1,남,con,49,,47.25,True,,1
김만수,경기,부천시,구시군의장선거,5,2,남,rev,45,,47.25,True,4.595119850134589,2
김무만,경남,합천군,구시군의장선거,5,3,남,rem,54,,47.25,False,-2.081078597271978,1
현삼식,경기,양주시,구시군의장선거,5,1,남,con,62,정당인,47.25,True,,1
유현규,강원,춘천시,구시군의장선거,5,3,남,rev,39,,47.25,False,-2.933317957008554,1
박영순,경기,구리시,구시군의장선거,5,2,남,rev,62,정당인,47.25,True,4.595119850134589,2
이춘성,경기,오산시,구시군의장선거,5,1,남,con,54,,47.25,False,,2
진종근,전남,고흥군,구시군의장선거,5,3,남,rem,61,,47.25,False,0.63200669595157,2
심재학,강원,춘천시,구시군의장선거,5,3,남,rem,47,정당인,47.25,False,-3.0048206632907815,1
강성종,전남,신안군,구시군의장선거,5,2,남,rev,62,정당인,47.25,False,,2
김건,충남,당진군,구시군의장선거,5,2,남,rev,45,,47.25,False,4.595119850134589,1
김수백,충북,보은군,구시군의장선거,5,1,남,con,61,정당인,47.25,False,,1
최영호,광주,남구,구시군의장선거,5,2,남,rev,45,정당인,47.25,True,4.595119850134589,2
박완수,경남,창원시,구시군의장선거,5,1,남,con,54,,47.25,True,,1
김희수,전남,진도군,구시군의장선거,5,3,남,rem,54,,47.25,False,4.595119850134589,2
이광춘,경북,경주시,구시군의장선거,5,3,남,rev,40,정당인,47.25,False,-1.9095670877742568,1
허상탁,경남,창원시,구시군의장선거,5,3,남,rem,57,,47.25,False,-3.6621769530584487,1
이태섭,경기,화성시,구시군의장선거,5,1,남,con,67,정당인,47.25,False,,3
김영재,서울,동작구,구시군의장선거,5,3,남,rem,47,,47.25,False,-2.436892636344776,3
박영순,대전,대덕구,구시군의장선거,5,2,남,rev,45,정당인,47.25,False,1.940828133035616,1
이인호,전남,목포시,구시군의장선거,5,3,남,rem,46,,47.25,False,-2.8580300037091235,2
김현상,인천,부평구,구시군의장선거,5,3,남,rem,52,,47.25,False,-1.7833931824991636,2
곽상욱,경기,오산시,구시군의장선거,5,2,남,rev,45,정당인,47.25,True,4.595119850134589,2
조성미,충남,홍성군,구시군의장선거,5,3,여,rem,51,,47.25,False,-1.2475112910945287,1
최석민,경기,광주시,구시군의장선거,5,2,남,rev,61,정당인,47.25,False,1.774970612106765,1
남해진,대구,중구,구시군의장선거,5,3,남,rem,53,,47.25,False,-1.3378310665996769,1
임각수,충북,괴산군,구시군의장선거,5,3,남,rem,62,,47.25,True,4.595119850134589,3
유종필,서울,관악구,구시군의장선거,5,2,남,rev,52,정당인,47.25,True,4.595119850134589,2
정병문,경남,양산시,구시군의장선거,5,2,남,rev,46,정당인,47.25,False,1.0740001390759344,1
서삼석,전남,무안군,구시군의장선거,5,2,남,rev,50,,47.25,True,,2
이영철,부산,사상구,구시군의장선거,5,2,남,rev,46,,47.25,False,1.3254168756209193,1
황준기,경기,성남시,구시군의장선거,5,1,남,con,54,정당인,47.25,False,,1
김대동,전남,나주시,구시군의장선거,5,3,남,rem,64,,47.25,False,-0.7020882441545859,2
이기운,대구,수성구,구시군의장선거,5,3,남,rem,60,,47.25,False,-1.3948162875061259,1
이우경,경북,경산시,구시군의장선거,5,1,남,con,60,정당인,47.25,False,,1
정용기,대전,대덕구,구시군의장선거,5,1,남,con,48,,47.25,True,,1
조신형,대전,서구,구시군의장선거,5,1,남,con,47,,47.25,False,,2
송도근,경남,사천시,구시군의장선거,5,3,남,rem,62,,47.25,False,2.0176883737484643,1
김건,충남,당진군,구시군의장선거,5,2,남,rev,45,,47.25,False,4.595119850134589,1
양승근,대전,동구,구시군의장선거,5,2,남,rev,60,,47.25,False,2.9826477199707244,1
김병욱,강원,속초시,구시군의장선거,5,2,남,rev,41,,47.25,False,-0.5661394010357897,1
이봉화,서울,관악구,구시군의장선거,5,3,여,rev,38,정당인,47.25,False,-1.6529278153093891,2
김진옥,경남,의령군,구시군의장선거,5,3,남,rem,58,,47.25,False,-1.3437597195431303,1
심의조,경남,합천군,구시군의장선거,5,1,남,con,71,,47.25,False,,1
문동신,전북,군산시,구시군의장선거,5,2,남,rev,72,,47.25,True,,2
김호복,충북,충주시,구시군의장선거,5,1,남,con,62,,47.25,False,,1
오경근,대전,중구,구시군의장선거,5,3,남,rev,41,,47.25,False,-3.1861710444956177,3
박정수,경남,김해시,구시군의장선거,5,1,남,con,64,,47.25,False,,2
강성호,대구,서구,구시군의장선거,5,1,남,con,43,,47.25,False,,1
김무만,경남,합천군,구시군의장선거,5,3,남,rem,54,,47.25,False,-2.081078597271978,1
현삼식,경기,양주시,구시군의장선거,5,1,남,con,62,정당인,47.25,True,,1
오현모,전북,임실군,구시군의장선거,5,3,남,rem,57,,47.25,False,-2.4696492329108306,2
신준범,충남,서산시,구시군의장선거,5,2,남,rev,45,,47.25,False,-0.012524684623348015,1
하태호,경남,고성군,구시군의장선거,5,3,남,rem,50,,47.25,False,-0.4019198250113412,1
최명희,강원,강릉시,구시군의장선거,5,1,남,con,55,,47.25,True,,1
김동일,충남,보령시,구시군의장선거,5,3,남,rem,61,,47.25,False,0.17417302823004946,1
장현수,경기,안성시,구시군의장선거,5,3,남,rem,64,,47.25,False,-0.7965778146281218,1
유천호,인천,강화군,구시군의장선거,5,1,남,con,59,정당인,47.25,False,,3
서정석,경기,용인시,구시군의장선거,5,3,남,rem,60,,47.25,False,-1.1061962092635156,3
윤주헌,충북,영동군,구시군의장선거,5,3,남,rem,59,정당인,47.25,False,0.8922955504407296,1
김형렬,대구,수성구,구시군의장선거,5,3,남,rem,51,,47.25,False,1.0552782808187715,1
김대수,강원,삼척시,구시군의장선거,5,3,남,rem,68,,47.25,True,4.595119850134589,1
변지량,강원,춘천시,구시군의장선거,5,2,남,rev,51,정당인,47.25,False,0.9375861008945428,1
우강호,강원,평창군,구시군의장선거,5,3,남,rem,50,,47.25,False,-0.3342109244678224,1
김관호,강원,양양군,구시군의장선거,5,3,남,rem,61,,47.25,False,2.57166742264135,1
오경근,대전,중구,구시군의장선거,5,3,남,rev,41,,47.25,False,-3.1861710444956177,3
송영철,충남,논산시,구시군의장선거,5,1,남,con,50,,47.25,False,,1
최홍건,경기,시흥시,구시군의장선거,5,1,남,con,66,,47.25,False,,2
성기청,서울,송파구,구시군의장선거,5,3,남,rev,44,,47.25,False,-1.8411572666846023,1
정갑철,강원,화천군,구시군의장선거,5,1,남,con,65,,47.25,True,,1
송윤한,경남,김해시,구시군의장선거,5,3,남,rem,44,,47.25,False,-2.214630654484832,2
류재건,울산,북구,구시군의장선거,5,1,남,con,49,,47.25,False,,1
이병현,인천,계양구,구시군의장선거,5,3,남,rem,67,,47.25,False,-2.4885919982273834,2
김용원,울산,울주군,구시군의장선거,5,3,남,rem,62,,47.25,False,-1.7791620443910918,1
심정우,전남,여수시,구시군의장선거,5,1,남,con,50,,47.25,False,,2
최영배,인천,연수구,구시군의장선거,5,3,남,rem,55,,47.25,False,-1.759437692895842,1
조기석,대구,달서구,구시군의장선거,5,2,남,rev,50,,47.25,False,-0.9606698741891984,1
김상두,전북,장수군,구시군의장선거,5,3,남,rem,76,,47.25,False,1.5869488573968606,2
박경철,전북,익산시,구시군의장선거,5,3,남,rem,54,,47.25,False,0.33057916367225004,2
권재욱,경북,영양군,구시군의장선거,5,3,남,rem,48,,47.25,False,0.837287239381103,1
김동진,경남,통영시,구시군의장선거,5,3,남,rem,59,,47.25,True,4.595119850134589,1
서동석,전북,군산시,구시군의장선거,5,3,남,rem,50,,47.25,False,-0.8204681316682664,2
강광,전북,정읍시,구시군의장선거,5,3,남,rem,73,,47.25,False,1.7889003826562349,2
황의만,경기,파주시,구시군의장선거,5,3,남,rem,64,,47.25,False,-0.2248496137516317,3
남해진,대구,중구,구시군의장선거,5,3,남,rem,53,,47.25,False,-1.3378310665996769,1
정병문,경남,양산시,구시군의장선거,5,2,남,rev,46,정당인,47.25,False,1.0740001390759344,1
용석춘,강원,홍천군,구시군의장선거,5,3,남,rev,48,정당인,47.25,False,-2.3534850045773954,1
김종식,전남,완도군,구시군의장선거,5,2,남,rev,59,,47.25,True,,2
송영선,전북,진안군,구시군의장선거,5,2,남,rev,59,,47.25,True,,2
이은권,대전,중구,구시군의장선거,5,1,남,con,51,,47.25,False,,3
임덕재,충남,서산시,구시군의장선거,5,3,남,rem,55,,47.25,False,-1.9231682952191176,1
원정희,부산,금정구,구시군의장선거,5,1,남,con,56,,47.25,True,,1
이필운,경기,안양시,구시군의장선거,5,1,남,con,55,,47.25,False,,2
김진옥,경남,의령군,구시군의장선거,5,3,남,rem,58,,47.25,False,-1.3437597195431303,1
성백영,경북,상주시,구시군의장선거,5,3,남,rem,59,정당인,47.25,True,4.595119850134589,1
